class,family,genus,species
Araneamorphae,,,
Mygalomorphae,,,
Araneamorphae,,,
Araneamorphae,Agelenidae,,
Araneamorphae,Agelenidae,Agelenopsis,
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis aperta
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis emertoni
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis naevia
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis oregonensis
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis pennsylvanica
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis potteri
Araneamorphae,Agelenidae,Agelenopsis,Agelenopsis utahana
Araneamorphae,Agelenidae,Barronopsis,
Araneamorphae,Agelenidae,Barronopsis,Barronopsis floridensis
Araneamorphae,Agelenidae,Barronopsis,Barronopsis jeffersi
Araneamorphae,Agelenidae,Barronopsis,Barronopsis stephaniae
Araneamorphae,Agelenidae,Barronopsis,Barronopsis texana
Araneamorphae,Agelenidae,Calilena,
Araneamorphae,Agelenidae,Coras,
Araneamorphae,Agelenidae,Coras,Coras juvenilis
Araneamorphae,Agelenidae,Coras,Coras lamellosus
Araneamorphae,Agelenidae,Coras,Coras montanus
Araneamorphae,Agelenidae,Eratigena,
Araneamorphae,Agelenidae,Eratigena,Eratigena agrestis
Araneamorphae,Agelenidae,Eratigena,Eratigena duellica
Araneamorphae,Agelenidae,Hololena,
Araneamorphae,Agelenidae,Hololena,Hololena nedra
Araneamorphae,Agelenidae,Novalena,
Araneamorphae,Agelenidae,Novalena,Novalena lutzi
Araneamorphae,Agelenidae,Tegenaria,
Araneamorphae,Agelenidae,Tegenaria,Tegenaria domestica
Araneamorphae,Agelenidae,Tegenaria,Tegenaria pagana
Araneamorphae,Agelenidae,Wadotes,
Araneamorphae,Agelenidae,Western Ageleninae,
Araneamorphae,Amaurobiidae,,
Araneamorphae,Amaurobiidae,Amaurobius,
Araneamorphae,Amaurobiidae,Amaurobius,Amaurobius borealis
Araneamorphae,Amaurobiidae,Amaurobius,Amaurobius ferox
Araneamorphae,Amaurobiidae,Callobius,
Araneamorphae,Amaurobiidae,Callobius,Callobius bennetti
Araneamorphae,Amaurobiidae,Callobius,Callobius nomeus
Araneamorphae,Amaurobiidae,Callobius,Callobius pictus
Araneamorphae,Amaurobiidae,Callobius,Callobius severus
Araneamorphae,Anapidae,,
Araneamorphae,Anapidae,Gertschanapis,
Araneamorphae,Anapidae,Gertschanapis,Gertschanapis shantzi
Araneamorphae,Anyphaenidae,,
Araneamorphae,Anyphaenidae,Anyphaena,
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena aperta
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena californica
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena celer
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena dixiana
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena fraterna
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena pacifica
Araneamorphae,Anyphaenidae,Anyphaena,Anyphaena pectorosa
Araneamorphae,Anyphaenidae,Arachosia,
Araneamorphae,Anyphaenidae,Arachosia,Arachosia cubana
Araneamorphae,Anyphaenidae,Hibana,
Araneamorphae,Anyphaenidae,Hibana,"Hibana,Hibana gracilis"
Araneamorphae,Anyphaenidae,Hibana,Hibana futilis
Araneamorphae,Anyphaenidae,Hibana,Hibana incursa
Araneamorphae,Anyphaenidae,Lupettiana,
Araneamorphae,Anyphaenidae,Lupettiana,Lupettiana mordax
Araneamorphae,Anyphaenidae,Wulfila,
Araneamorphae,Anyphaenidae,Wulfila,Wulfila saltabundus
Araneamorphae,Anyphaenidae,Wulfila,Wulfila tantillus
Araneamorphae,Araneidae,,
Araneamorphae,Araneidae,Acacesia,
Araneamorphae,Araneidae,Acacesia,Acacesia hamata
Araneamorphae,Araneidae,Acanthepeira,
Araneamorphae,Araneidae,Acanthepeira,Acanthepeira marion
Araneamorphae,Araneidae,Acanthepeira,Acanthepeira stellata
Araneamorphae,Araneidae,Aculepeira,
Araneamorphae,Araneidae,Aculepeira,Aculepeira packardi
Araneamorphae,Araneidae,Allocyclosa,
Araneamorphae,Araneidae,Allocyclosa,Allocyclosa bifurca
Araneamorphae,Araneidae,Araneus,
Araneamorphae,Araneidae,Araneus,Araneus alboventris
Araneamorphae,Araneidae,Araneus,Araneus andrewsi
Araneamorphae,Araneidae,Araneus,Araneus bicentenarius
Araneamorphae,Araneidae,Araneus,Araneus bispinosus
Araneamorphae,Araneidae,Araneus,Araneus bivittatus
Araneamorphae,Araneidae,Araneus,Araneus bonsallae
Araneamorphae,Araneidae,Araneus,Araneus cavaticus
Araneamorphae,Araneidae,Araneus,Araneus cingulatus
Araneamorphae,Araneidae,Araneus,Araneus corticarius
Araneamorphae,Araneidae,Araneus,Araneus detrimentosus
Araneamorphae,Araneidae,Araneus,Araneus diadematus
Araneamorphae,Araneidae,Araneus,Araneus gemma
Araneamorphae,Araneidae,Araneus,Araneus gemmoides
Araneamorphae,Araneidae,Araneus,Araneus guttulatus
Araneamorphae,Araneidae,Araneus,Araneus illaudatus
Araneamorphae,Araneidae,Araneus,Araneus juniperi
Araneamorphae,Araneidae,Araneus,Araneus marmoreus
Araneamorphae,Araneidae,Araneus,Araneus miniatus
Araneamorphae,Araneidae,Araneus,Araneus montereyensis
Araneamorphae,Araneidae,Araneus,Araneus niveus
Araneamorphae,Araneidae,Araneus,Araneus nordmanni
Araneamorphae,Araneidae,Araneus,Araneus pegnia
Araneamorphae,Araneidae,Araneus,Araneus pratensis
Araneamorphae,Araneidae,Araneus,Araneus saevus
Araneamorphae,Araneidae,Araneus,Araneus thaddeus
Araneamorphae,Araneidae,Araneus,Araneus trifolium
Araneamorphae,Araneidae,Araniella,
