species
Acacesia hamata
Acanthepeira marion
Acanthepeira stellata
Aculepeira packardi
Admestina tibialis
Agelenopsis aperta
Agelenopsis emertoni
Agelenopsis naevia
Agelenopsis oregonensis
Agelenopsis pennsylvanica
Agelenopsis potteri
Agelenopsis utahana
Agyneta fabra
Agyneta fillmorana
Agyneta micaria
Agyneta semipallida
Agyneta sheffordiana
Agyneta unimaculata
Aliatypus californicus
Allocosa sublata
Allocosa absoluta
Allocosa funerea
Allocyclosa bifurca
Alopecosa aculeata
Alopecosa kochi
Amaurobius borealis
Amaurobius ferox
Anahita punctulata
Anasaitis canosa
Anelosimus analyticus
Anelosimus studiosus
Antrodiaetus montanus
Antrodiaetus pacificus
Antrodiaetus pugnax
Antrodiaetus unicolor
Anyphaena aperta
Anyphaena californica
Anyphaena celer
Anyphaena dixiana
Anyphaena fraterna
Anyphaena pacifica
Anyphaena pectorosa
Aphonopelma anax
Aphonopelma chalcodes
Aphonopelma hentzi
Aphonopelma iodius
Aphonopelma madera
Aphonopelma marxi
Aphonopelma moderatum
Aphonopelma steindachneri
Aphonopelma vorhiesi
Apollophanes margareta
Apollophanes texanus
Apomastus kristenae
Aptostichus simus
Aptostichus stanfordianus
Aptostichus stephencolberti
Arachosia cubana
Araneus alboventris
Araneus andrewsi
Araneus bicentenarius
Araneus bispinosus
Araneus bivittatus
Araneus bonsallae
Araneus cavaticus
Araneus cingulatus
Araneus corticarius
Araneus detrimentosus
Araneus diadematus
Araneus gemma
Araneus gemmoides
Araneus guttulatus
Araneus illaudatus
Araneus juniperi
Araneus marmoreus
Araneus miniatus
Araneus montereyensis
Araneus niveus
Araneus nordmanni
Araneus pegnia
Araneus pratensis
Araneus saevus
Araneus thaddeus
Araneus trifolium
Araniella displicata
Araniella proxima
Arctosa alpigena
Arctosa alpigena
Arctosa littoralis
Arctosa perita
Arctosa rubicunda
Arctosa sanctaerosae
Arcuphantes arcuatulus
Argiope argentata
Argiope aurantia
Argiope florida
Argiope trifasciata
Argyrodes elevatus
Argyrodes nephilae
Ariadna bicolor
Asagena americana
Asagena fulva
Attidops youngi
Attinella concolor
Attinella dorsata
Attulus ammophilus
Attulus fasciger
Attulus floricola
Attulus pubescens
Attulus striatus
Atypoides rivers
Badumna longinqua
Bagheera prosper
Barronopsis floridensis
Barronopsis jeffersi
Barronopsis stephaniae
Barronopsis texana
Bassaniana utahensis
Bassaniana versicolor
Bathyphantes alascensis
Bathyphantes pallidus
Bathyphantes weyeri
Beata wickhami
Blabomma californicum
Bold Jumper (Phidippus audax)
Bothriocyrtum californicum
Bronze Jumper (Eris militaris)
Calisoga longitarsis
Callilepis imbecilla
Callilepis pluto
Callobius bennetti
Callobius nomeus
Callobius pictus
Callobius severus
Calymmaria emertoni
Calymmaria nana
Calymmaria persica
Camillina pulchra
Camptocosa parallela
Cardinal Jumper (Phidippus cardinalis)
Castianeira alteranda
Castianeira amoena
Castianeira athena
Castianeira crocata
Castianeira dorsata
Castianeira longipalpa
Castianeira occidens
Castianeira thalia
Castianeira trilineata
Castianeira variata
Centromerita bicolor
Centromerus cornupalpis
Ceraticelus atriceps
Ceraticelus bulbosus
Ceraticelus emertoni
Ceraticelus fissiceps
Ceraticelus similis
Ceratinopsidis formosa
Ceratinopsis interpres
Cesonia bilineata
Cesonia rothi
Chalcoscirtus diminutus
Cheiracanthium inclusum
Cheiracanthium mildei
Chinattus parvulus
Cicurina arcuata
Cicurina brevis
Cicurina bryantae
Cicurina itasca
Cicurina japonica
Cicurina pallida
Cicurina pusilla
Cicurina simplex
Cicurina tersa
Citharoceps fidicina
Clubiona abboti
Clubiona canadensis
Clubiona janae
Clubiona kastoni
Clubiona lutescens
Clubiona maritima
Clubiona obesa
Clubiona pikei
Clubiona pygmaea
Clubiona riparia
Coleosoma acutiventer
Coleosoma floridanum
Collinsia plumosa
Colonus hesperus
Colonus puerperus
Colonus sylvanus
Colphepeira catawba
Coras juvenilis
Coras lamellosus
Coras montanus
Coreorgonal monoceros
Coriarachne brunneipes
Crossopriza lyoni
Crustulina altera
Crustulina sticta
Cryphoeca exlineae
Cryptachaea blattea
Cryptachaea porteri
Ctenus exlineae
Ctenus hibernalis
Curicaberis abnormis
Curicaberis peninsulanus
Cybaeus eutypus
Cybaeus reticulatus
Cybaeus signifer
Cyclocosmia truncata
Cyclosa caroli
Cyclosa conica
Cyclosa tubinata
Cyclosa walckenaeri
Cyrtophora citricola
Decaphora cubana
Deinopis aurita
Diaea livens
Dictis striatipes
Dictyna brevitarsa
Dictyna calcarata
Dictyna coloradensis
Dictyna foliacea
Dictyna minuta
Dictyna saepei
Dictyna volucripes
Diguetia canities
Diguetia mojavea
Dimorphic Jumper (Maevia inclemens)
Diplocephalus subrostratus
Diplostyla concolor
Dipoena dorsata
Dipoena malkini
Dipoena nigra
Dirksia cinctipes
Disembolus corneliae
Dolichognatha pentagona
Dolomedes albineus
Dolomedes okefinokensis
Dolomedes scriptus
Dolomedes striatus
Dolomedes tenebrosus
Dolomedes triton
Dolomedes vittatus
Drapetisca alteranda
Drassodes neglectus
Drassyllus aprilinus
Drassyllus creolus
Drassyllus insularis
Drassyllus novus
Drassyllus proclesis
Dysdera crocata
Eastern Parson Spider (Herpyllus ecclesiasticus)
Ebo latithorax
Ebo pepinensis
Elaver excepta
Emblyna borealis cavernosa
Emblyna florens
Emblyna francisca
Emblyna olympiana
Emblyna reticulata
Emblyna sublata
Emertongone montifer
Enoplognatha caricis
Enoplognatha marmorata
Enoplognatha ovata
Enoplognatha thoracica
Entychides arizonica
Episinus amoenus
Eratigena agrestis
Eratigena duellica
Eridantes erigonoides
Erigone aletris
Erigone atra
Erigone autumnalis
Erigone dentigera
Erigone dentosa
Eriophora edax
Eriophora ravilla
Eris flava
Eris floridana
Eris rufa
Ero canionis
Ero pensacolae
Eucteniza relata
Euophrys monadnock
Euryopis californica
Euryopis formosa
Euryopis funebris
Euryopis mulaiki
Eustala anastera
Eustala californiensis
Eustala cepina
Evarcha hoyi
Evarcha proszynskii
Eyebrowed Jumper (Habronattus notialis)
Faiditus cancellatus
Falconina gracilis
Florida false wolf spider (Ctenus captiosus)
Florinda coccinea
Frontinella huachuca
Frontinella pyramitela
