Epochs: 30 / 100{'loss': [1.7130000611146292], 'class_predictions_loss': [0.00047126071876846254], 'family_predictions_loss': [0.09533803910017014], 'genus_predictions_loss': [0.44000640511512756], 'species_predictions_loss': [0.7722843885421753], 'class_predictions_accuracy': [1.0], 'family_predictions_accuracy': [0.9736666679382324], 'genus_predictions_accuracy': [0.8600000143051147], 'species_predictions_accuracy': [0.7516666650772095], 'lr': [1e-07]}
{'loss': [1.6939790586630503], 'class_predictions_loss': [0.0013006387744098902], 'family_predictions_loss': [0.09265748411417007], 'genus_predictions_loss': [0.4534373879432678], 'species_predictions_loss': [0.7416895031929016], 'class_predictions_accuracy': [0.9993333220481873], 'family_predictions_accuracy': [0.9706666469573975], 'genus_predictions_accuracy': [0.8526666760444641], 'species_predictions_accuracy': [0.7603333592414856], 'lr': [1e-07]}
{'loss': [1.7486344317595164], 'class_predictions_loss': [0.0005284607759676874], 'family_predictions_loss': [0.10192237794399261], 'genus_predictions_loss': [0.43722593784332275], 'species_predictions_loss': [0.804068922996521], 'class_predictions_accuracy': [1.0], 'family_predictions_accuracy': [0.9700000286102295], 'genus_predictions_accuracy': [0.8613333106040955], 'species_predictions_accuracy': [0.7426666617393494], 'lr': [1e-07]}
{'loss': [1.7286703487237294], 'class_predictions_loss': [0.002504403702914715], 'family_predictions_loss': [0.09537231922149658], 'genus_predictions_loss': [0.44986483454704285], 'species_predictions_loss': [0.776045024394989], 'class_predictions_accuracy': [0.9986666440963745], 'family_predictions_accuracy': [0.965666651725769], 'genus_predictions_accuracy': [0.856333315372467], 'species_predictions_accuracy': [0.7549999952316284], 'lr': [1e-07]}
{'loss': [1.6861462672551473], 'class_predictions_loss': [0.0016136494232341647], 'family_predictions_loss': [0.09971307963132858], 'genus_predictions_loss': [0.42708179354667664], 'species_predictions_loss': [0.7528591156005859], 'class_predictions_accuracy': [0.999666690826416], 'family_predictions_accuracy': [0.9703333377838135], 'genus_predictions_accuracy': [0.8643333315849304], 'species_predictions_accuracy': [0.7553333044052124], 'lr': [1e-07]}
{'loss': [1.6808127184708914], 'class_predictions_loss': [0.0025238175876438618], 'family_predictions_loss': [0.09602034837007523], 'genus_predictions_loss': [0.4142448306083679], 'species_predictions_loss': [0.7631502747535706], 'class_predictions_accuracy': [0.999666690826416], 'family_predictions_accuracy': [0.9710000157356262], 'genus_predictions_accuracy': [0.871999979019165], 'species_predictions_accuracy': [0.7613333463668823], 'lr': [1e-07]}
{'loss': [1.7390822649002076], 'class_predictions_loss': [0.00264538056217134], 'family_predictions_loss': [0.09517745673656464], 'genus_predictions_loss': [0.44636836647987366], 'species_predictions_loss': [0.7900229692459106], 'class_predictions_accuracy': [0.9983333349227905], 'family_predictions_accuracy': [0.9729999899864197], 'genus_predictions_accuracy': [0.8539999723434448], 'species_predictions_accuracy': [0.7450000047683716], 'lr': [1e-07]}
{'loss': [1.7239921649297079], 'class_predictions_loss': [0.0038113833870738745], 'family_predictions_loss': [0.10271375626325607], 'genus_predictions_loss': [0.43358004093170166], 'species_predictions_loss': [0.7790238261222839], 'class_predictions_accuracy': [0.9986666440963745], 'family_predictions_accuracy': [0.968666672706604], 'genus_predictions_accuracy': [0.8650000095367432], 'species_predictions_accuracy': [0.7490000128746033], 'lr': [1e-07]}
{'loss': [1.679257369041443], 'class_predictions_loss': [0.0005957848625257611], 'family_predictions_loss': [0.08687850087881088], 'genus_predictions_loss': [0.4136125147342682], 'species_predictions_loss': [0.7733122110366821], 'class_predictions_accuracy': [0.999666690826416], 'family_predictions_accuracy': [0.9726666808128357], 'genus_predictions_accuracy': [0.862666666507721], 'species_predictions_accuracy': [0.7473333477973938], 'lr': [1e-07]}
{'loss': [1.708536026875178], 'class_predictions_loss': [0.002962507074698806], 'family_predictions_loss': [0.10852166265249252], 'genus_predictions_loss': [0.4449925124645233], 'species_predictions_loss': [0.7472060918807983], 'class_predictions_accuracy': [0.9990000128746033], 'family_predictions_accuracy': [0.965666651725769], 'genus_predictions_accuracy': [0.8543333411216736], 'species_predictions_accuracy': [0.7646666765213013], 'lr': [1e-07]}
{'loss': [1.6412304798762003], 'class_predictions_loss': [0.0015006407629698515], 'family_predictions_loss': [0.08085751533508301], 'genus_predictions_loss': [0.425409734249115], 'species_predictions_loss': [0.7286146879196167], 'class_predictions_accuracy': [0.999666690826416], 'family_predictions_accuracy': [0.9763333201408386], 'genus_predictions_accuracy': [0.8656666874885559], 'species_predictions_accuracy': [0.7683333158493042], 'lr': [1e-07]}
